Blog	an	analytics	as	business	by	company	financial	from	global	government	health	help	information	more	on	our	products	provides	research	s	services	software	solutions	technology	their	through	we
GoodGuide	0	0	1	0	0	0	0	0	0	0	2	1	3	1	2	0	4	2	0	3	0	0	0	0	1	0	1
Eat Shop Sleep	1	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Development Seed	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	4	0	0	0	2	0	0	3	0	0	0	4
Calcbench, Inc.	0	0	1	0	0	1	2	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	4
Allied Van Lines	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0
College Abacus, an ECMC initiative	2	0	1	0	2	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0
HealthMap	2	0	0	0	0	0	0	0	2	0	4	0	1	0	4	0	0	0	0	0	0	0	0	0	2	0	0
Brightscope	0	0	0	0	0	2	3	0	0	0	0	0	2	0	0	0	0	1	0	0	0	2	0	0	0	2	0
Dun & Bradstreet	0	0	0	5	2	0	0	1	2	0	0	0	3	1	2	1	0	2	1	2	0	0	3	0	0	1	0
Ernst & Young LLP	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	1	0	0	0
Embark	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DataMade	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	1
Ayasdi	2	0	0	1	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	2	0	2	0	0	1	0	0
Government Transaction Services	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
American Red Ball Movers	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
indoo.rs	1	0	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0
Fuzion Apps, Inc.	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0
Graematter, Inc.	0	1	0	0	1	0	0	2	0	0	0	0	2	0	1	0	2	0	0	1	0	0	0	0	0	0	1
HelloWallet	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Chubb	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	3	0
Healthline	0	0	2	1	2	1	0	0	1	0	8	0	2	0	0	0	0	0	0	0	0	0	4	1	0	0	0
Exversion	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1
Cappex	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	2	0	2	0	1
FlightStats	0	1	1	0	0	1	0	0	5	0	0	0	2	0	0	4	0	1	0	0	3	0	0	0	0	0	1
Archimedes Inc.	0	1	2	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Copyright Clearance Center	0	0	2	0	0	0	0	0	2	1	0	0	1	2	0	0	0	2	0	1	0	0	3	0	1	0	0
Accela	0	0	0	2	1	0	0	0	0	1	1	0	1	1	2	1	0	0	0	0	2	0	2	0	0	0	0
Expert Health Data Programming, Inc.	0	0	0	0	1	0	0	0	0	3	3	0	0	0	1	0	0	2	0	0	1	4	0	0	0	0	0
CGI	0	0	0	3	0	1	1	0	0	1	2	0	1	0	0	1	0	3	0	1	4	0	0	0	0	0	0
Citigroup	0	0	0	0	0	3	4	0	1	0	0	0	0	0	0	0	3	4	0	2	5	0	0	0	0	1	0
Code-N	2	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	2	0	0	0
Barchart	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	2	0	0	0	0
Berkery Noyes MandASoft	2	0	0	0	2	0	0	0	0	0	0	0	5	0	1	0	1	2	0	0	1	0	0	0	1	0	0
Civinomics	2	0	0	0	1	0	0	0	0	0	0	0	1	1	2	2	0	3	0	0	0	0	1	0	1	1	0
Cerner	1	0	0	0	0	0	1	0	0	0	4	0	1	0	1	0	0	0	0	2	0	0	1	1	0	0	0
Department of Better Technology	1	0	2	0	1	0	0	0	0	3	0	3	1	0	3	0	0	0	0	0	0	4	0	3	0	2	9
Azavea	0	0	3	0	2	0	0	1	0	1	0	0	1	0	0	2	0	0	1	1	1	2	0	1	0	2	1
Bing	0	0	2	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
BuildFax	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Biovia	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	2	0	0	0	0	0
Aunt Bertha, Inc.	0	0	0	0	1	0	0	1	0	1	0	0	2	0	1	0	0	0	0	1	1	0	0	0	1	0	5
Booz Allen Hamilton	0	1	0	2	0	0	0	0	0	3	0	1	0	0	1	2	0	1	0	0	2	0	0	4	1	0	3
Careset.com	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Housefax	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0
FutureAdvisor	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1
DemystData	0	0	0	2	0	2	2	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0
ideas42	0	0	1	0	0	0	0	1	0	0	1	0	0	1	2	0	2	0	1	0	0	0	0	0	0	0	0
Bloomberg	0	2	0	2	1	2	3	0	2	0	0	0	5	2	0	0	0	1	0	1	0	0	1	2	0	2	0
Govzilla, Inc.	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	2	0	0	0	0	0	1	0
Granicus	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Fidelity Investments	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	4	0	1	0	0	0	1
Boston Consulting Group	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
IBM	1	1	1	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	1	5	1	2
GenoSpace	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	1
FlightAware	0	0	6	0	0	0	0	0	1	0	0	0	1	0	0	0	0	3	0	0	1	1	1	0	0	0	0
ClearHealthCosts	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Amazon Web Services	0	1	0	0	1	0	0	0	1	1	0	1	1	1	0	0	0	1	1	0	7	0	0	0	0	1	0
Geoscape	0	2	0	3	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1
Healthgrades	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	1	0	1
Aidin	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0
FindTheBest.com	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	2	4	0	0	0	0	1	0	0
Abt Associates	0	0	0	0	0	2	0	0	1	0	2	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0
Golden Helix	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Climate Corporation	2	0	2	0	1	3	0	0	1	0	0	4	0	0	1	0	2	0	0	3	0	2	1	1	3	0	0
BizVizz	0	0	0	0	3	0	3	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1
48 Factoring Inc.	0	0	0	3	0	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1
CareSet Systems	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Construction Monitor LLC	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	3
Factset	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	2	2	0	0	2	0	0	0	0	0
